47399.2573	7.326	0.961	1.363
47400.2312	7.125	0.753	1.246
47401.2176	6.52	0.642	0.993
47402.204	6.71	0.719	1.119
47404.196	6.936	0.951	1.303
47407.2124	7.323	1.333	1.529
47408.1804	7.428	1.4	1.584
47410.2035	7.633	1.419	1.601
47411.2282	7.579	1.262	1.519
47413.1881	7.295	0.957	1.351
47414.1748	6.947	0.729	1.17
47415.1783	6.584	0.643	1.066
47416.183	6.713	0.761	1.149
47417.1777	6.812	0.836	1.255
47418.1799	6.945	0.969	1.345
47419.1578	7.042	1.12	1.402
47420.1629	7.185	1.22	1.494
47421.1548	7.306	1.373	1.533
47422.1602	7.471	1.431	1.584
47423.1497	7.569	1.471	1.616
47424.1544	7.621	1.449	1.566
47425.1604	7.534	1.238	1.493
47427.1679	7.32	0.945	1.324
47428.1511	6.741	0.672	1.075
47429.1476	6.644	0.642	1.094
47430.1327	6.73	0.743	1.145
47431.1367	6.852	0.851	1.26
47433.1344	7.117	1.129	1.441
47434.1389	7.217	1.268	1.491
